code,name,market,industry_em,营收_2026Q1,归母净利润_2026Q1,扣非归母_2026Q1,毛利率_2026Q1,营收_2025A,归母净利润_2025A,扣非归母_2025A,毛利率_2025A,营收_2024A,归母净利润_2024A,扣非归母_2024A,毛利率_2024A
2813,路畅科技,SZ,汽车零部件,5962.18,-1847.35,-1847.35,14.58%,3.74,-9373.52,-9370.51,10.69%,3.61,-5541.03,-7336.68,19.58%
300877,金春股份,SZ,纺织制造,2.99,294.35,294.35,12.36%,10.87,8669.37,8658.98,10.69%,10.32,3093.88,3092.74,8.03%
28,国药一致,SZ,医药商业,178.23,2.87,3.05,9.96%,734.16,11.36,11.28,10.68%,743.78,6.42,2.37,11.09%
2471,中超控股,SZ,电网设备,12.59,-473.58,-529.17,9.94%,51.8,-2264.81,-2499.36,10.66%,54.99,-2140.43,-2384.61,10.44%
2768,国恩股份,SZ,塑料,53.77,2.57,2.72,11.93%,212.51,8.41,8.23,10.66%,192.2,6.76,7.09,8.71%
300437,清水源,SZ,环境治理,2.62,-103.39,-69.84,12.77%,8.69,-4057.55,-3868.12,10.66%,10.92,-5861.01,-5662.77,10.61%
600392,盛和资源,SH,小金属,33.83,3.27,3.33,12.82%,149.91,8.39,8.56,10.66%,113.71,2.07,2.34,5.23%
709,河钢股份,SZ,普钢,313.01,3.23,3.92,9.56%,1181.37,10.02,10.65,10.65%,1216.17,7.07,8.01,9.65%
2589,瑞康医药,SZ,医药商业,17.07,1037.22,1561.96,12.78%,72.96,1607.12,4390.21,10.64%,79.67,1229.38,3006.16,11.00%
301370,国科恒泰,SZ,医疗器械,15.68,124.4,131.26,9.24%,69.87,6815.02,6459.55,10.62%,73.46,1.31,1.52,10.77%
300805,电声股份,SZ,广告营销,7.61,258.88,235.79,9.25%,24.89,3470.12,3048.13,10.61%,22.87,1404.05,1164.08,10.56%
17,深中华A,SZ,饰品,1.32,611.56,609.03,10.74%,7.36,4112.92,4139.6,10.59%,5.8,1684.52,1583.83,5.94%
688609,九联科技,SH,黑色家电,7.02,1509.02,1419.33,19.57%,23.89,-2.11,-2.19,10.57%,25.08,-1.42,-1.52,11.59%
2182,宝武镁业,SZ,小金属,21.32,508.91,-649,6.81%,99.12,-1854.89,-3306.12,10.55%,89.83,1.6,1.58,11.70%
2882,金龙羽,SZ,电网设备,8.73,763.59,508.55,10.78%,46.51,1.07,1.02,10.54%,36.75,1.4,1.37,12.62%
2660,茂硕电源,SZ,消费电子,2.89,-2908.96,-2937.04,15.47%,12.25,-2.34,-2.51,10.52%,12.95,6748.36,5636.59,23.54%
603679,华体科技,SH,光学光电子,1.44,-1411.02,-1373.16,21.24%,4.69,-1.26,-1.45,10.52%,3.67,-6693.89,-7374.96,21.74%
521,长虹美菱,SZ,白色家电,73.23,7024.56,7428.88,9.51%,304.08,4.1,4.3,10.50%,286.01,6.99,7.25,11.15%
301012,扬电科技,SZ,电网设备,3.88,2055.24,2042.62,14.72%,12.79,3929.25,4045.05,10.50%,13.33,7034.46,7003.14,13.27%
